"tweet_id"	"author"	"entity_id"	"text"
"106337098528849920"	"BeliebInRobsten"	"RL2013D04E175"	"RT if you love Justin Bieber (follow me, I follow back right away)"
"122471316807892995"	"JaimeRV29"	"RL2013D04E175"	"Van 5 reggaetoneros y Justin Bieber en un barco. El barco se hunde ¿Quien se salva? - La sociedad. #Chiste"
"154532080640995328"	"ElHumanoide"	"RL2013D04E175"	"Niña de 16 años le dice a su hermana de 4: ""los Reyes no existen"". Esta le contesta: ""Justin Bieber no sabe que tú existes"" ¿Quién llora?."
"190891934737367041"	"SupremeBiebah"	"RL2013D04E175"	""
"191623892392083456"	"DirectionHoes"	"RL2013D04E175"	"RT if you love any of these: Selena Gomez. Taylor Swift. Justin Bieber. Ariana Grande. Miley Cyrus. Demi Lovato. (follow me i follow back)"
"195467720244989952"	"GothicKavita"	"RL2013D04E175"	"Ellen. Only woman in history that could make Justin Bieber pull up his pants."
"199571705054769152"	"ErvinBraun"	"RL2013D04E175"	"if you hate justin bieber? why do you watch his videos.. Tell me... He made them for us.. not to impress you"
"201044117780832258"	"NiallFacts"	"RL2013D04E175"	"Harry: Si quieres que Niall se enamore de tí, solo háblale de Justin Bieber. #NiallFacts"
"204060222292099072"	"Im_Judas"	"RL2013D04E175"	"No traigas a tu novia a la final de la NBA, se aburrirá. #Justin Bieber. #Selena Gomez. pic.twitter.com/vDUynZ4n"
"204189094148972545"	"iTweetsBiebs"	"RL2013D04E175"	"""I've met Justin Bieber 10 times."" Me too, the only problem was that I woke up at the end."
"204618845313437696"	"WeLoveSelena"	"RL2013D04E175"	"Me: ""I want to meet Justin Bieber."" Security: ""No."" Life: ""No."" Parents: ""No."" Luck: ""No."" Dreams: ""Aw okay. Do you wanna marry him too?"""
"205164927101575169"	"kidrauhlika"	"RL2013D04E175"	"So remember, this is BIEBER's world. You're just living in it. Bieber or Die - Justin Bieber"
"205493839677497346"	"Jesus_M_Christ"	"RL2013D04E175"	"RIP Justin Bieber? Oh hell no. He's your problem, not ours."
