@RELATION reputation

@ATTRIBUTE has_questionmark REAL
@ATTRIBUTE has_negation REAL
@ATTRIBUTE has_excl REAL
@ATTRIBUTE has_qtdPunctuation REAL
@ATTRIBUTE has_negative REAL
@ATTRIBUTE has_url REAL
@ATTRIBUTE polarity_maxnegative REAL
@ATTRIBUTE has_posIntensifier REAL
@ATTRIBUTE polarity_value REAL
@ATTRIBUTE has_positive REAL
@ATTRIBUTE polarity_qtdneutral REAL
@ATTRIBUTE has_uppercase REAL
@ATTRIBUTE polarity_qtdnegative REAL
@ATTRIBUTE polarity_url REAL
@ATTRIBUTE has_negIntensifier REAL
@ATTRIBUTE polarity_qtdpositive REAL
@ATTRIBUTE polarity_maxpositive REAL
@ATTRIBUTE class {"POSITIVE", "NEGATIVE", "NEUTRAL"}

@DATA
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, POSITIVE
0, 0, 1, 2, 0, 0, 0, 0, 4, 1, 8, 0, 0, 0, 0, 1, 4, POSITIVE
0, 0, 1, 13, 0, 0, 0, 0, 2, 1, 23, 1, 0, 0, 0, 1, 2, POSITIVE
0, 0, 1, 6, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, POSITIVE
1, 0, 1, 6, 0, 0, 0, 0, 1, 1, 20, 0, 0, 0, 0, 1, 1, NEGATIVE
0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, POSITIVE
0, 0, 0, 2, 1, 0, -3, 0, -9, 0, 10, 0, 4, 0, 0, 0, 0, NEUTRAL
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 0, 0, POSITIVE
0, 0, 1, 4, 0, 0, 0, 0, 7, 1, 14, 0, 0, 0, 0, 2, 4, POSITIVE
0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 13, 0, 0, 0, 0, 2, 3, NEUTRAL
0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 8, 0, 0, 0, 0, 2, 3, POSITIVE
0, 0, 0, 0, 1, 0, -2, 0, -1, 1, 15, 0, 1, 0, 0, 1, 1, NEGATIVE
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, POSITIVE
0, 0, 0, 6, 0, 0, 0, 0, 3, 1, 20, 3, 0, 0, 0, 1, 3, NEUTRAL
0, 0, 0, 4, 0, 0, 0, 0, 2, 1, 14, 1, 0, 0, 0, 1, 2, POSITIVE
0, 0, 0, 4, 1, 0, -2, 0, 6, 1, 15, 0, 1, 0, 0, 2, 4, NEUTRAL
0, 0, 1, 2, 1, 0, -2, 0, 2, 1, 14, 0, 1, 0, 0, 2, 3, NEUTRAL
0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 0, 1, 0, 0, 1, 1, NEUTRAL
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, POSITIVE
0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, POSITIVE
0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, NEUTRAL
