@RELATION reputation

@ATTRIBUTE has_questionmark REAL
@ATTRIBUTE has_negation REAL
@ATTRIBUTE perc_negatives REAL
@ATTRIBUTE has_qtdPunctuation REAL
@ATTRIBUTE perc_neutral REAL
@ATTRIBUTE has_negative REAL
@ATTRIBUTE has_positive REAL
@ATTRIBUTE polarity_maxnegative REAL
@ATTRIBUTE has_posIntensifier REAL
@ATTRIBUTE polarity_value REAL
@ATTRIBUTE polarity_qtdneutral REAL
@ATTRIBUTE perc_positives REAL
@ATTRIBUTE has_uppercase REAL
@ATTRIBUTE polarity_qtdnegative REAL
@ATTRIBUTE has_negIntensifier REAL
@ATTRIBUTE polarity_qtdpositive REAL
@ATTRIBUTE polarity_maxpositive REAL
@ATTRIBUTE class {"POSITIVE", "NEGATIVE", "NEUTRAL"}

@DATA
0, 0, 0, 0, 0.25, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, POSITIVE
0, 0, 0, 2, 0.111111111111, 0, 1, 0, 0, 4, 1, 0.111111111111, 0, 0, 0, 1, 4, POSITIVE
0, 0, 0, 13, 0.125, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, POSITIVE
0, 0, 0, 6, 0.15, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, POSITIVE
1, 0, 0, 6, 0.238095238095, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, NEGATIVE
0, 0, 0, 3, 0.157894736842, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, POSITIVE
0, 0, 0.142857142857, 2, 0.142857142857, 1, 0, -2, 0, -4, 2, 0, 0, 2, 0, 0, 0, NEUTRAL
0, 0, 0, 1, 0.272727272727, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, POSITIVE
0, 0, 0, 4, 0.25, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, POSITIVE
0, 0, 0, 12, 0.0, 0, 1, 0, 0, 1, 0, 0.0588235294118, 0, 0, 0, 1, 0, POSITIVE
0, 0, 0, 0, 0.125, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, NEGATIVE
0, 0, 0, 0, 0.117647058824, 0, 1, 0, 0, 1, 2, 0.0588235294118, 0, 0, 0, 1, 1, NEGATIVE
0, 0, 0, 0, 0.25, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, POSITIVE
0, 0, 0, 6, 0.0952380952381, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, NEUTRAL
0, 0, 0, 4, 0.133333333333, 0, 1, 0, 0, 2, 2, 0.0666666666667, 0, 0, 0, 1, 2, POSITIVE
0, 0, 0.0555555555556, 4, 0.0, 1, 1, -2, 0, 6, 0, 0.111111111111, 0, 1, 0, 2, 4, NEUTRAL
0, 0, 0, 2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, POSITIVE
0, 0, 0, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NEUTRAL
0, 0, 0, 1, 0.2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, POSITIVE
0, 0, 0, 6, 0.375, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, POSITIVE
0, 1, 0, 3, 0.285714285714, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, NEUTRAL
0, 0, 0.214285714286, 1, 0.285714285714, 1, 0, -3, 0, -8, 4, 0, 0, 3, 0, 0, 0, NEGATIVE
0, 0, 0, 1, 0.37037037037, 0, 1, 0, 0, 8, 10, 0.111111111111, 0, 0, 0, 3, 4, POSITIVE
